Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
900011,Ms.,Charles,L,Taylor,M,charles.taylor11@gmail.com,Father Taylor,Mother Taylor,Maiden11,10/22/1978,05:51:22 AM,47.82,57,11/1/2006,Q4,H2,2006,11,November,Nov,1,Wednesday,Wed,19.79,112476,26%,378-65-7887,200-311-2025,Seattle,King,Seattle,WA,98101,West,ctaylor11,Pw11!xA9#
900012,Mrs.,Rachel,M,Wilson,F,rachel.wilson12@outlook.com,Father Wilson,Mother Wilson,Maiden12,10/25/1972,01:20:16 AM,53.81,49,11/1/2018,Q4,H2,2018,11,November,Nov,1,Thursday,Thu,7.79,86184,20%,133-81-6485,624-556-1389,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,rwilson12,Pw12!xA9#
900013,Mr.,Michael,N,Moore,M,michael.moore13@gmail.com,Father Moore,Mother Moore,Maiden13,05/15/1984,09:24:34 AM,42.26,50,11/22/2016,Q4,H2,2016,11,November,Nov,22,Tuesday,Tue,9.73,92191,14%,249-93-5770,994-598-7037,Detroit,Wayne,Detroit,MI,48201,Midwest,mmoore13,Pw13!xA9#
900014,Hon.,Briana,O,Anderson,F,briana.anderson14@yahoo.com,Father Anderson,Mother Anderson,Maiden14,06/26/1962,12:08:29 AM,64.14,72,11/26/2010,Q4,H2,2010,11,November,Nov,26,Friday,Fri,15.72,86328,26%,121-54-8368,956-957-8391,Chicago,Cook,Chicago,IL,60601,Midwest,banderson14,Pw14!xA9#
900015,Dr.,William,P,Moore,M,william.moore15@walmart.com,Father Moore,Mother Moore,Maiden15,04/28/1974,09:06:34 AM,52.3,100,11/17/2010,Q4,H2,2010,11,November,Nov,17,Wednesday,Wed,15.75,139276,28%,477-38-6571,295-478-9295,Wichita,Sedgwick,Wichita,KS,67202,Midwest,wmoore15,Pw15!xA9#
900016,Prof.,Estella,Q,Davis,F,estella.davis16@yahoo.com,Father Davis,Mother Davis,Maiden16,05/27/1973,01:12:17 AM,53.22,57,11/2/2017,Q4,H2,2017,11,November,Nov,2,Thursday,Thu,8.79,121316,23%,336-20-6194,285-549-9809,Atlanta,Fulton,Atlanta,GA,30303,South,edavis16,Pw16!xA9#
900017,Mr.,Michael,R,Anderson,M,michael.anderson17@walmart.com,Father Anderson,Mother Anderson,Maiden17,01/17/1981,12:53:53 AM,45.58,46,11/24/2020,Q4,H2,2020,11,November,Nov,24,Tuesday,Tue,5.73,117729,23%,987-72-6579,605-429-9212,Phoenix,Maricopa,Phoenix,AZ,85001,West,manderson17,Pw17!xA9#
900018,Mrs.,Briana,S,Thomas,F,briana.thomas18@walmart.com,Father Thomas,Mother Thomas,Maiden18,09/08/1967,08:23:42 AM,58.94,48,11/23/2015,Q4,H2,2015,11,November,Nov,23,Monday,Mon,10.73,107004,18%,423-55-4548,988-659-6620,Phoenix,Maricopa,Phoenix,AZ,85001,West,bthomas18,Pw18!xA9#
900019,Ms.,Robert,T,Brown,M,robert.brown19@outlook.com,Father Brown,Mother Brown,Maiden19,06/08/1974,06:04:58 AM,52.19,56,11/13/2018,Q4,H2,2018,11,November,Nov,13,Tuesday,Tue,7.76,84349,14%,225-43-9238,819-529-1899,Topeka,Shawnee,Topeka,KS,66603,Midwest,rbrown19,Pw19!xA9#
900020,Dr.,Jessica,U,Smith,F,jessica.smith20@gmail.com,Father Smith,Mother Smith,Maiden20,03/01/1961,11:28:17 AM,65.46,65,11/15/2008,Q4,H2,2008,11,November,Nov,15,Saturday,Sat,17.75,177543,19%,676-83-6636,454-907-8462,New York,New York,New York,NY,10001,Northeast,jsmith20,Pw20!xA9#
900021,Dr.,Charles,V,Thomas,M,charles.thomas21@outlook.com,Father Thomas,Mother Thomas,Maiden21,09/05/1985,11:31:46 AM,40.95,46,11/2/2015,Q4,H2,2015,11,November,Nov,2,Monday,Mon,10.79,142020,9%,588-78-1700,681-754-3319,Atlanta,Fulton,Atlanta,GA,30303,South,cthomas21,Pw21!xA9#
900022,Dr.,Jennifer,W,Wilson,F,jennifer.wilson22@gmail.com,Father Wilson,Mother Wilson,Maiden22,04/11/1962,12:37:57 AM,64.35,83,11/15/2006,Q4,H2,2006,11,November,Nov,15,Wednesday,Wed,19.75,154738,5%,428-59-4728,904-264-5151,Dallas,Dallas,Dallas,TX,75201,South,jwilson22,Pw22!xA9#
900023,Dr.,William,X,Brown,M,william.brown23@yahoo.com,Father Brown,Mother Brown,Maiden23,08/15/1969,04:02:17 AM,57.0,76,11/2/2018,Q4,H2,2018,11,November,Nov,2,Friday,Fri,7.79,165212,21%,269-77-4179,510-711-8657,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,wbrown23,Pw23!xA9#
900024,Dr.,Estella,Y,Miller,F,estella.miller24@gmail.com,Father Miller,Mother Miller,Maiden24,06/16/1973,09:59:04 AM,53.17,62,11/20/2019,Q4,H2,2019,11,November,Nov,20,Wednesday,Wed,6.74,134132,25%,501-62-8349,313-261-8088,Chicago,Cook,Chicago,IL,60601,Midwest,emiller24,Pw24!xA9#
900025,Dr.,Daniel,Z,Anderson,M,daniel.anderson25@yahoo.com,Father Anderson,Mother Anderson,Maiden25,05/17/1978,04:04:25 AM,48.25,47,11/7/2009,Q4,H2,2009,11,November,Nov,7,Saturday,Sat,16.77,153953,5%,111-62-6274,760-230-1685,Phoenix,Maricopa,Phoenix,AZ,85001,West,danderson25,Pw25!xA9#
900026,Dr.,Estella,A,White,F,estella.white26@gmail.com,Father White,Mother White,Maiden26,03/22/1979,04:32:01 AM,47.41,63,11/6/2014,Q4,H2,2014,11,November,Nov,6,Thursday,Thu,11.78,151846,28%,470-29-8633,430-624-4638,San Diego,San Diego,San Diego,CA,92101,West,ewhite26,Pw26!xA9#
900027,Dr.,Charles,B,Jackson,M,charles.jackson27@gmail.com,Father Jackson,Mother Jackson,Maiden27,06/05/1986,05:08:30 AM,40.2,76,11/13/2011,Q4,H2,2011,11,November,Nov,13,Sunday,Sun,14.76,164813,28%,837-23-3064,324-671-6781,Los Angeles,Los Angeles,Los Angeles,CA,90001,West,cjackson27,Pw27!xA9#
900028,Dr.,Rachel,C,Thomas,F,rachel.thomas28@gmail.com,Father Thomas,Mother Thomas,Maiden28,04/24/1983,09:53:56 AM,43.32,48,11/12/2014,Q4,H2,2014,11,November,Nov,12,Wednesday,Wed,11.76,171399,29%,197-85-6322,953-284-4374,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,rthomas28,Pw28!xA9#
900029,Dr.,Daniel,D,Brown,M,daniel.brown29@walmart.com,Father Brown,Mother Brown,Maiden29,09/08/1987,01:06:09 AM,38.94,50,11/28/2009,Q4,H2,2009,11,November,Nov,28,Saturday,Sat,16.72,152663,12%,568-65-4290,877-614-1976,Phoenix,Maricopa,Phoenix,AZ,85001,West,dbrown29,Pw29!xA9#
900030,Dr.,Shawna,E,Brown,F,shawna.brown30@gmail.com,Father Brown,Mother Brown,Maiden30,01/23/1986,04:15:50 AM,40.56,73,11/22/2009,Q4,H2,2009,11,November,Nov,22,Sunday,Sun,16.73,130880,18%,449-95-3343,291-891-1156,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,sbrown30,Pw30!xA9#
900031,Dr.,William,F,Wilson,M,william.wilson31@gmail.com,Father Wilson,Mother Wilson,Maiden31,03/11/1988,02:59:15 AM,38.43,80,11/27/2012,Q4,H2,2012,11,November,Nov,27,Tuesday,Tue,13.72,165949,14%,340-26-1013,819-985-9898,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,wwilson31,Pw31!xA9#
900032,Dr.,Sarah,G,Moore,F,sarah.moore32@gmail.com,Father Moore,Mother Moore,Maiden32,01/23/1989,10:18:22 AM,37.56,71,11/21/2016,Q4,H2,2016,11,November,Nov,21,Monday,Mon,9.74,178869,15%,806-10-6743,718-977-1047,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,smoore32,Pw32!xA9#
900033,Dr.,William,H,Johnson,M,william.johnson33@yahoo.com,Father Johnson,Mother Johnson,Maiden33,03/12/1989,07:40:43 AM,37.43,83,11/15/2015,Q4,H2,2015,11,November,Nov,15,Sunday,Sun,10.75,152016,7%,296-36-6869,637-996-8878,Lexington,Fayette,Lexington,KY,40501,South,wjohnson33,Pw33!xA9#
900034,Dr.,Sarah,I,Jackson,F,sarah.jackson34@gmail.com,Father Jackson,Mother Jackson,Maiden34,03/04/1984,04:23:11 AM,42.45,46,11/1/2017,Q4,H2,2017,11,November,Nov,1,Wednesday,Wed,8.79,151939,8%,239-87-2661,476-324-2205,Lexington,Fayette,Lexington,KY,40501,South,sjackson34,Pw34!xA9#
900035,Prof.,David,J,Smith,M,david.smith35@walmart.com,Father Smith,Mother Smith,Maiden35,06/13/1969,09:50:35 AM,57.18,84,11/9/2009,Q4,H2,2009,11,November,Nov,9,Monday,Mon,16.77,146519,8%,782-78-2981,537-493-6053,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,dsmith35,Pw35!xA9#
900036,Prof.,Amanda,K,Davis,F,amanda.davis36@yahoo.com,Father Davis,Mother Davis,Maiden36,02/20/1967,03:24:00 AM,59.49,67,11/25/2008,Q4,H2,2008,11,November,Nov,25,Tuesday,Tue,17.72,111361,18%,314-40-1070,627-332-2373,Chicago,Cook,Chicago,IL,60601,Midwest,adavis36,Pw36!xA9#
900037,Prof.,Michael,L,Anderson,M,michael.anderson37@gmail.com,Father Anderson,Mother Anderson,Maiden37,03/20/1982,10:25:17 AM,44.41,46,11/27/2017,Q4,H2,2017,11,November,Nov,27,Monday,Mon,8.72,121063,23%,154-91-9906,931-392-6084,Lexington,Fayette,Lexington,KY,40501,South,manderson37,Pw37!xA9#
900038,Prof.,Sarah,M,Thomas,F,sarah.thomas38@yahoo.com,Father Thomas,Mother Thomas,Maiden38,05/23/1977,07:13:31 AM,49.23,63,11/22/2005,Q4,H2,2005,11,November,Nov,22,Tuesday,Tue,20.73,150048,6%,532-18-3522,374-882-1775,Boston,Suffolk,Boston,MA,2108,Northeast,sthomas38,Pw38!xA9#
900039,Prof.,Charles,N,Davis,M,charles.davis39@outlook.com,Father Davis,Mother Davis,Maiden39,05/20/1989,12:34:23 AM,37.24,81,11/19/2019,Q4,H2,2019,11,November,Nov,19,Tuesday,Tue,6.74,111565,7%,950-37-2469,649-243-9764,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,cdavis39,Pw39!xA9#
900040,Prof.,Sarah,O,White,F,sarah.white40@gmail.com,Father White,Mother White,Maiden40,01/17/1959,07:51:46 AM,67.58,51,11/28/2009,Q4,H2,2009,11,November,Nov,28,Saturday,Sat,16.72,113606,20%,730-59-6468,877-386-7630,Topeka,Shawnee,Topeka,KS,66603,Midwest,swhite40,Pw40!xA9#
900041,Prof.,Daniel,P,Jackson,M,daniel.jackson41@walmart.com,Father Jackson,Mother Jackson,Maiden41,01/14/1978,06:32:26 AM,48.59,82,11/7/2006,Q4,H2,2006,11,November,Nov,7,Tuesday,Tue,19.78,107227,27%,369-46-7733,388-746-9669,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,djackson41,Pw41!xA9#
900042,Prof.,Rachel,Q,Johnson,F,rachel.johnson42@yahoo.com,Father Johnson,Mother Johnson,Maiden42,02/14/1961,11:15:40 AM,65.5,100,11/17/2009,Q4,H2,2009,11,November,Nov,17,Tuesday,Tue,16.75,114840,30%,947-80-8854,230-580-5853,Wichita,Sedgwick,Wichita,KS,67202,Midwest,rjohnson42,Pw42!xA9#
900043,Prof.,Thomas,R,Wilson,M,thomas.wilson43@gmail.com,Father Wilson,Mother Wilson,Maiden43,04/12/1986,10:06:31 AM,40.35,68,11/7/2015,Q4,H2,2015,11,November,Nov,7,Saturday,Sat,10.78,145650,30%,481-63-3903,307-873-2193,New York,New York,New York,NY,10001,Northeast,twilson43,Pw43!xA9#
900044,Prof.,Estella,S,Thomas,F,estella.thomas44@outlook.com,Father Thomas,Mother Thomas,Maiden44,01/08/1965,06:20:38 AM,61.6,59,11/25/2008,Q4,H2,2008,11,November,Nov,25,Tuesday,Tue,17.72,113612,25%,964-63-5381,545-892-8878,Detroit,Wayne,Detroit,MI,48201,Midwest,ethomas44,Pw44!xA9#
900045,Mr.,Michael,T,Davis,M,michael.davis45@yahoo.com,Father Davis,Mother Davis,Maiden45,01/24/1986,11:43:25 AM,40.56,54,11/12/2009,Q4,H2,2009,11,November,Nov,12,Thursday,Thu,16.76,82298,28%,928-32-5080,720-869-3992,Topeka,Shawnee,Topeka,KS,66603,Midwest,mdavis45,Pw45!xA9#
900046,Mrs.,Amanda,U,Anderson,F,amanda.anderson46@outlook.com,Father Anderson,Mother Anderson,Maiden46,03/01/1972,04:04:27 AM,54.46,77,11/9/2009,Q4,H2,2009,11,November,Nov,9,Monday,Mon,16.77,116087,28%,969-70-7493,526-248-8034,Phoenix,Maricopa,Phoenix,AZ,85001,West,aanderson46,Pw46!xA9#
900047,Mr.,Daniel,V,White,M,daniel.white47@walmart.com,Father White,Mother White,Maiden47,03/28/1997,06:20:49 AM,29.39,47,11/15/2019,Q4,H2,2019,11,November,Nov,15,Friday,Fri,6.75,121829,12%,817-80-8800,946-987-6589,Boston,Suffolk,Boston,MA,2108,Northeast,dwhite47,Pw47!xA9#
900048,Mr.,Estella,W,Smith,F,estella.smith48@outlook.com,Father Smith,Mother Smith,Maiden48,07/19/1959,11:53:00 AM,67.08,75,11/27/2011,Q4,H2,2011,11,November,Nov,27,Sunday,Sun,14.72,118704,16%,764-26-5410,565-757-6091,Seattle,King,Seattle,WA,98101,West,esmith48,Pw48!xA9#
900049,Mr.,James,X,Wilson,M,james.wilson49@outlook.com,Father Wilson,Mother Wilson,Maiden49,02/18/1981,09:26:25 AM,45.49,45,11/18/2008,Q4,H2,2008,11,November,Nov,18,Tuesday,Tue,17.74,88472,27%,611-18-4087,387-557-4750,Topeka,Shawnee,Topeka,KS,66603,Midwest,jwilson49,Pw49!xA9#
900050,Ms.,Jennifer,Y,White,F,jennifer.white50@outlook.com,Father White,Mother White,Maiden50,08/07/1983,02:12:16 AM,43.03,77,11/13/2008,Q4,H2,2008,11,November,Nov,13,Thursday,Thu,17.76,110883,7%,809-25-7032,379-394-2350,Phoenix,Maricopa,Phoenix,AZ,85001,West,jwhite50,Pw50!xA9#
900051,Dr.,James,Z,Moore,M,james.moore51@gmail.com,Father Moore,Mother Moore,Maiden51,10/31/1964,02:59:19 AM,61.79,71,11/15/2018,Q4,H2,2018,11,November,Nov,15,Thursday,Thu,7.75,150661,21%,502-58-6444,576-557-2033,Seattle,King,Seattle,WA,98101,West,jmoore51,Pw51!xA9#
900052,Mr.,Jennifer,A,Thomas,F,jennifer.thomas52@yahoo.com,Father Thomas,Mother Thomas,Maiden52,06/14/1975,05:20:44 AM,51.18,100,11/13/2019,Q4,H2,2019,11,November,Nov,13,Wednesday,Wed,6.76,85265,14%,255-50-8728,569-431-9755,Wichita,Sedgwick,Wichita,KS,67202,Midwest,jthomas52,Pw52!xA9#
900053,Ms.,Nathaniel,B,Thomas,M,nathaniel.thomas53@yahoo.com,Father Thomas,Mother Thomas,Maiden53,01/29/1979,05:58:49 AM,47.55,75,11/11/2011,Q4,H2,2011,11,November,Nov,11,Friday,Fri,14.77,91472,10%,301-69-8902,538-687-8322,Detroit,Wayne,Detroit,MI,48201,Midwest,nthomas53,Pw53!xA9#
900054,Ms.,Amanda,C,Miller,F,amanda.miller54@gmail.com,Father Miller,Mother Miller,Maiden54,03/31/1968,10:54:20 AM,58.38,74,11/21/2007,Q4,H2,2007,11,November,Nov,21,Wednesday,Wed,18.74,134194,17%,679-82-9689,332-438-1939,New York,New York,New York,NY,10001,Northeast,amiller54,Pw54!xA9#
900055,Ms.,Michael,D,White,M,michael.white55@yahoo.com,Father White,Mother White,Maiden55,05/11/1981,09:15:58 AM,45.27,63,11/20/2013,Q4,H2,2013,11,November,Nov,20,Wednesday,Wed,12.74,117731,27%,527-20-7317,760-264-7033,Seattle,King,Seattle,WA,98101,West,mwhite55,Pw55!xA9#
900056,Mrs.,Amanda,E,White,F,amanda.white56@yahoo.com,Father White,Mother White,Maiden56,07/01/1957,05:26:09 AM,69.13,53,11/12/2010,Q4,H2,2010,11,November,Nov,12,Friday,Fri,15.76,89632,10%,565-44-4801,827-400-5861,Detroit,Wayne,Detroit,MI,48201,Midwest,awhite56,Pw56!xA9#
900057,Ms.,Robert,F,Thomas,M,robert.thomas57@yahoo.com,Father Thomas,Mother Thomas,Maiden57,11/01/1969,06:39:42 AM,56.79,56,11/20/2011,Q4,H2,2011,11,November,Nov,20,Sunday,Sun,14.74,120421,30%,265-51-1647,302-449-1676,New York,New York,New York,NY,10001,Northeast,rthomas57,Pw57!xA9#
900058,Mr.,Jennifer,G,Davis,F,jennifer.davis58@gmail.com,Father Davis,Mother Davis,Maiden58,08/16/1992,10:42:15 AM,34.0,78,11/6/2018,Q4,H2,2018,11,November,Nov,6,Tuesday,Tue,7.78,114113,25%,204-63-3552,443-888-6027,Seattle,King,Seattle,WA,98101,West,jdavis58,Pw58!xA9#
900059,Dr.,Michael,H,Taylor,M,michael.taylor59@outlook.com,Father Taylor,Mother Taylor,Maiden59,03/29/1968,07:46:38 AM,58.38,64,11/1/2017,Q4,H2,2017,11,November,Nov,1,Wednesday,Wed,8.79,172987,10%,683-28-4152,434-506-8225,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,mtaylor59,Pw59!xA9#
900060,Hon.,Rachel,I,Brown,F,rachel.brown60@gmail.com,Father Brown,Mother Brown,Maiden60,04/30/1981,02:19:40 AM,45.3,76,11/17/2010,Q4,H2,2010,11,November,Nov,17,Wednesday,Wed,15.75,98807,10%,817-12-9173,936-984-7638,Houston,Harris,Houston,TX,77002,South,rbrown60,Pw60!xA9#
900061,Mrs.,Robert,J,Anderson,M,robert.anderson61@walmart.com,Father Anderson,Mother Anderson,Maiden61,05/31/1993,09:19:17 AM,33.21,62,11/23/2018,Q4,H2,2018,11,November,Nov,23,Friday,Fri,7.73,107952,12%,255-89-4347,394-209-2483,Dallas,Dallas,Dallas,TX,75201,South,randerson61,Pw61!xA9#
900062,Mr.,Jessica,K,Anderson,F,jessica.anderson62@gmail.com,Father Anderson,Mother Anderson,Maiden62,01/03/1965,07:34:19 AM,61.62,77,11/6/2007,Q4,H2,2007,11,November,Nov,6,Tuesday,Tue,18.78,110295,8%,878-67-1399,344-471-6474,Phoenix,Maricopa,Phoenix,AZ,85001,West,janderson62,Pw62!xA9#
900063,Dr.,Michael,L,Taylor,M,michael.taylor63@walmart.com,Father Taylor,Mother Taylor,Maiden63,08/12/1961,06:54:07 AM,65.01,75,11/4/2014,Q4,H2,2014,11,November,Nov,4,Tuesday,Tue,11.78,158111,12%,467-99-5169,473-787-9635,Seattle,King,Seattle,WA,98101,West,mtaylor63,Pw63!xA9#
900064,Mr.,Elisabeth,M,Johnson,F,elisabeth.johnson64@yahoo.com,Father Johnson,Mother Johnson,Maiden64,09/23/1974,03:15:11 AM,51.9,69,11/27/2016,Q4,H2,2016,11,November,Nov,27,Sunday,Sun,9.72,127330,25%,791-52-4391,938-663-3353,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,ejohnson64,Pw64!xA9#
900065,Mrs.,Charles,N,Davis,M,charles.davis65@walmart.com,Father Davis,Mother Davis,Maiden65,08/31/1987,07:34:44 AM,38.96,81,11/13/2016,Q4,H2,2016,11,November,Nov,13,Sunday,Sun,9.76,109233,18%,803-93-1092,923-436-8778,San Diego,San Diego,San Diego,CA,92101,West,cdavis65,Pw65!xA9#
900066,Ms.,Estella,O,Jackson,F,estella.jackson66@gmail.com,Father Jackson,Mother Jackson,Maiden66,11/23/1962,11:29:21 AM,63.73,65,11/15/2016,Q4,H2,2016,11,November,Nov,15,Tuesday,Tue,9.75,90019,19%,784-16-4890,223-465-3183,Detroit,Wayne,Detroit,MI,48201,Midwest,ejackson66,Pw66!xA9#
900067,Ms.,William,P,Brown,M,william.brown67@outlook.com,Father Brown,Mother Brown,Maiden67,04/11/1985,09:30:03 AM,41.35,62,11/17/2012,Q4,H2,2012,11,November,Nov,17,Saturday,Sat,13.75,97835,17%,676-63-5254,910-876-6325,Lexington,Fayette,Lexington,KY,40501,South,wbrown67,Pw67!xA9#
900068,Mr.,Briana,Q,Johnson,F,briana.johnson68@walmart.com,Father Johnson,Mother Johnson,Maiden68,06/02/1976,08:34:47 AM,50.21,71,11/3/2014,Q4,H2,2014,11,November,Nov,3,Monday,Mon,11.79,107751,20%,734-15-1907,444-351-8607,Seattle,King,Seattle,WA,98101,West,bjohnson68,Pw68!xA9#
900069,Mr.,Daniel,R,Davis,M,daniel.davis69@walmart.com,Father Davis,Mother Davis,Maiden69,01/22/1957,03:12:14 AM,69.57,84,11/28/2006,Q4,H2,2006,11,November,Nov,28,Tuesday,Tue,19.72,118733,5%,805-18-2186,722-750-9259,Phoenix,Maricopa,Phoenix,AZ,85001,West,ddavis69,Pw69!xA9#
900070,Mrs.,Amanda,S,Anderson,F,amanda.anderson70@yahoo.com,Father Anderson,Mother Anderson,Maiden70,04/12/1972,09:39:13 AM,54.35,85,11/11/2011,Q4,H2,2011,11,November,Nov,11,Friday,Fri,14.77,133202,11%,135-94-9466,398-841-5903,New York,New York,New York,NY,10001,Northeast,aanderson70,Pw70!xA9#
900071,Mr.,William,T,Taylor,M,william.taylor71@walmart.com,Father Taylor,Mother Taylor,Maiden71,10/08/1982,11:14:23 AM,43.86,49,11/5/2015,Q4,H2,2015,11,November,Nov,5,Thursday,Thu,10.78,107500,8%,731-66-1920,929-969-1338,Los Angeles,Los Angeles,Los Angeles,CA,90001,West,wtaylor71,Pw71!xA9#
900072,Dr.,Jennifer,U,Thomas,F,jennifer.thomas72@gmail.com,Father Thomas,Mother Thomas,Maiden72,09/14/1980,11:12:52 AM,45.92,51,11/24/2017,Q4,H2,2017,11,November,Nov,24,Friday,Fri,8.73,135743,29%,980-48-7749,451-653-6083,Topeka,Shawnee,Topeka,KS,66603,Midwest,jthomas72,Pw72!xA9#
900073,Mr.,Robert,V,Thomas,M,robert.thomas73@walmart.com,Father Thomas,Mother Thomas,Maiden73,02/15/1970,03:29:31 AM,56.5,77,11/21/2013,Q4,H2,2013,11,November,Nov,21,Thursday,Thu,12.74,111047,21%,166-92-3177,347-855-8125,Phoenix,Maricopa,Phoenix,AZ,85001,West,rthomas73,Pw73!xA9#
900074,Ms.,Shawna,W,Jackson,F,shawna.jackson74@yahoo.com,Father Jackson,Mother Jackson,Maiden74,02/17/1975,03:55:39 AM,51.5,58,11/7/2011,Q4,H2,2011,11,November,Nov,7,Monday,Mon,14.78,105412,9%,368-41-8133,340-796-9417,Phoenix,Maricopa,Phoenix,AZ,85001,West,sjackson74,Pw74!xA9#
900075,Dr.,Daniel,X,Moore,M,daniel.moore75@yahoo.com,Father Moore,Mother Moore,Maiden75,07/04/1957,04:03:55 AM,69.12,100,11/24/2007,Q4,H2,2007,11,November,Nov,24,Saturday,Sat,18.73,134708,20%,449-53-4338,888-601-7509,Wichita,Sedgwick,Wichita,KS,67202,Midwest,dmoore75,Pw75!xA9#
